player,power
Forky,187.64
PQH,69.38
NotPurson,61.23
PENCILGON,53.33
PlayerGay(s81),120.34
KimTrong,58.84
NKH,73.82
0k,53.52
AEEY,104.36
CTLuNaHaRu,89.87
PlayerGay(s1),58.63
KimJongUn,62.71
Pooh,108.1
Acnologia,67.15
red_1,58.9
Keyzo,57.2
OGTempest,104.12
恋雪ShiHa,49.8
CTLirack,42.72
MomoSuzumori,55.24
Hanari,81.63
CT-LadyDYOR,55.18
JIAN,52.35
MariaOzawa,65.19
Grimm,88.62
GAYGAYGAY,71.68
Chaser,59
CTXCUAX,55.42
BigDaddyJ,81.66
CTxGramps,84.98
xFaji,66.92
VanJZ,57.9
모Hourensou모,78.68
Ravendarks,67.76
Mata,59.37
Twix,57.2
Jeiku,91.84
BigBabyJ,64.09
Masterhimself,46.65
CuteNhim,43.29
RV,62.5
InducedA(s1286),71.26
TANJIROaisaav,81.62
1VND,51.98
Klee,60.55
JasnLovesLefty,77.61
ZhaoFeL,54.23
NhanThapCam,53.34
Kem,58.46
BlackReaper,74.73
ChangTH,61.31
ChuPo,48.25
ForkysDad,76.29
RikuganGojo,59.07
InducedA(s1541),54.58
DungSiDietMuoi,47.85
CuteHa,67.47
CleverGirl,91.45
CTxHmmmm,41.21
CTxShine,43.73
ChefInduced,72.21
InducedA(s1286),73.23
Mikami,52.77
Aeey(s961),40.12